"filename","folder","reentrancy_gt","overflow_gt","timestamp_gt","tod_gt","reentrancy_flag","overflow_flag","timestamp_flag","tod_flag","reentrancy_detectors","timestamp_detectors","solc_version","exit_code","status","duration_s"
"ERC20.sol","front_running",0,0,0,1,0,-1,0,-1,"none","none","?",255,"OK",0.96
"FindThisHash.sol","front_running",0,0,0,1,0,-1,0,-1,"none","none","?",255,"OK",0.7
"eth_tx_order_dependence_minimal.sol","front_running",0,0,0,1,1,-1,0,-1,"reentrancy-unlimited-gas","none","?",255,"OK",0.88
"odds_and_evens.sol","front_running",0,0,0,1,1,-1,0,-1,"reentrancy-unlimited-gas","none","?",255,"OK",0.75
"crypto_roulette.sol","other",0,0,0,0,1,-1,1,-1,"reentrancy-unlimited-gas","timestamp","?",255,"OK",0.75
"name_registrar.sol","other",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.63
"open_address_lottery.sol","other",0,0,0,0,1,-1,1,-1,"reentrancy-unlimited-gas","timestamp","?",255,"OK",0.97
"0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.83
"0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.78
"0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",1.02
"0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.79
"0x561eac93c92360949ab1f1403323e6db345cbf31.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.87
"0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",1.25
"0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol","reentrancy",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",0.99
"0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.77
"0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol","reentrancy",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",1.11
"0x8c7777c45481dba411450c228cb692ac3d550344.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.87
"0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol","reentrancy",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",0.65
"0x941d225236464a25eb18076df7da6a91d0f95e9e.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-benign|reentrancy-eth","none","?",255,"OK",0.89
"0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol","reentrancy",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",0.87
"0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.9
"0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.71
"0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.69
"0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.77
"0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol","reentrancy",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",1.17
"0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol","reentrancy",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",0.87
"0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol","reentrancy",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",0.94
"etherbank.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.75
"etherstore.sol","reentrancy",1,0,0,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",1.32
"modifier_reentrancy.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-no-eth","none","?",255,"OK",1.62
"reentrance.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",1.51
"reentrancy_bonus.sol","reentrancy",1,0,0,0,0,-1,0,-1,"none","none","?",1,"COMPILE_ERROR",1.19
"reentrancy_cross_function.sol","reentrancy",1,0,0,0,0,-1,0,-1,"none","none","?",1,"COMPILE_ERROR",1.61
"reentrancy_dao.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",1.56
"reentrancy_insecure.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",1.32
"reentrancy_simple.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",1.3
"simple_dao.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",1.5
"spank_chain_payment.sol","reentrancy",1,0,0,0,1,-1,1,-1,"reentrancy-benign|reentrancy-eth|reentrancy-events|reentrancy-no-eth|reentrancy-unlimited-gas","timestamp","?",255,"OK",14.08
"short_address_example.sol","short_addresses",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.33
"0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol","time_manipulation",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",1.43
"0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol","time_manipulation",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",1.59
"0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol","time_manipulation",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",1.69
"0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol","time_manipulation",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",1.44
"0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol","time_manipulation",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",1.45
"0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol","time_manipulation",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",1.41
"0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol","time_manipulation",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",1.93
"ether_lotto.sol","time_manipulation",0,0,1,0,1,-1,1,-1,"reentrancy-unlimited-gas","timestamp","?",255,"OK",1.18
"governmental_survey.sol","time_manipulation",0,0,1,0,1,-1,1,-1,"reentrancy-unlimited-gas","timestamp","?",255,"OK",1.38
"list_dos.sol","time_manipulation",0,0,1,0,1,-1,1,-1,"reentrancy-unlimited-gas","timestamp","?",255,"OK",2.08
"lottopollo.sol","time_manipulation",0,0,1,0,0,-1,1,-1,"none","timestamp","?",255,"OK",1.53
"roulette.sol","time_manipulation",0,0,1,0,0,-1,1,-1,"none","timestamp","?",255,"OK",1.46
"timed_crowdsale.sol","time_manipulation",0,0,1,0,0,-1,1,-1,"none","timestamp","?",255,"OK",1.26
"timelock.sol","time_manipulation",0,1,1,0,0,-1,1,-1,"none","timestamp","?",255,"OK",1.37
"0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol","unchecked_low_level_calls",0,0,0,0,1,-1,0,-1,"reentrancy-benign|reentrancy-events|reentrancy-unlimited-gas","none","?",255,"OK",2.27
"0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.42
"0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol","unchecked_low_level_calls",0,0,0,0,1,-1,0,-1,"reentrancy-events|reentrancy-no-eth","none","?",255,"OK",3.11
"0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.4
"0x39cfd754c85023648bf003bea2dd498c5612abfa.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.31
"0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.3
"0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.07
"0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.31
"0x4051334adc52057aca763453820cb0e045076ef3.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.82
"0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.9
"0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.74
"0x524960d55174d912768678d8c606b4d50b79d7b1.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.04
"0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.19
"0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.92
"0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.96
"0x663e4229142a27f00bafb5d087e1e730648314c3.sol","unchecked_low_level_calls",0,0,0,0,1,-1,1,-1,"reentrancy-benign|reentrancy-eth|reentrancy-events|reentrancy-no-eth|reentrancy-unlimited-gas","timestamp","?",255,"OK",10.3
"0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.18
"0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.58
