dataset,contract,domain,rep,total_s,fixpoint_s,encoded,status
solidifi,buggy_13,Box,3,4.32,1.2623,True,OK
solidifi,buggy_13,Octagon,1,79.9,76.8592,True,OK
solidifi,buggy_13,Octagon,2,78.89,75.7032,True,OK
solidifi,buggy_13,Octagon,3,81.12,77.9884,True,OK
solidifi,buggy_13,Polka,1,15.83,12.6947,True,OK
solidifi,buggy_13,Polka,2,14.62,11.447,True,OK
solidifi,buggy_13,Polka,3,15.32,12.1484,True,OK
solidifi,buggy_14,Box,1,0.41,0.0,False,ERR
solidifi,buggy_15,Box,1,4.46,1.3037,True,OK
solidifi,buggy_15,Box,2,4.47,1.3429,True,OK
solidifi,buggy_15,Box,3,4.36,1.2711,True,OK
solidifi,buggy_15,Octagon,1,75.39,72.2772,True,OK
solidifi,buggy_15,Octagon,2,82.63,79.4028,True,OK
solidifi,buggy_15,Octagon,3,84.17,80.9782,True,OK
solidifi,buggy_15,Polka,1,16.35,13.2017,True,OK
solidifi,buggy_15,Polka,2,15.6,12.4691,True,OK
solidifi,buggy_15,Polka,3,16.07,12.9245,True,OK
solidifi,buggy_16,Box,1,0.62,0.0,False,ERR
solidifi,buggy_17,Box,1,2.58,0.0,False,ERR
solidifi,buggy_18,Box,1,0.09,0.0,False,ERR
solidifi,buggy_19,Box,1,7.35,1.4329,True,OK
solidifi,buggy_19,Box,2,7.1,1.4052,True,OK
solidifi,buggy_19,Box,3,7.27,1.451,True,OK
solidifi,buggy_19,Octagon,1,66.24,60.4706,True,OK
solidifi,buggy_19,Octagon,2,68.55,62.517,True,OK
solidifi,buggy_19,Octagon,3,67.32,61.2934,True,OK
solidifi,buggy_19,Polka,1,21.85,15.953,True,OK
solidifi,buggy_19,Polka,2,21.19,15.3635,True,OK
solidifi,buggy_19,Polka,3,21.57,15.7628,True,OK
solidifi,buggy_2,Box,1,2.89,0.0979,True,OK
solidifi,buggy_2,Box,2,2.87,0.1102,True,OK
solidifi,buggy_2,Box,3,2.82,0.106,True,OK
solidifi,buggy_2,Octagon,1,4.23,1.4744,True,OK
solidifi,buggy_2,Octagon,2,4.19,1.449,True,OK
solidifi,buggy_2,Octagon,3,4.19,1.4905,True,OK
solidifi,buggy_2,Polka,1,3.56,0.8395,True,OK
solidifi,buggy_2,Polka,2,3.71,0.9708,True,OK
solidifi,buggy_2,Polka,3,3.7,1.0017,True,OK
solidifi,buggy_20,Box,1,2.31,0.0,False,ERR
solidifi,buggy_21,Box,1,34.27,0.0,False,ERR
solidifi,buggy_22,Box,1,0.09,0.0,False,ERR
solidifi,buggy_23,Box,1,1.62,0.0,False,ERR
solidifi,buggy_24,Box,1,26.06,0.0,False,ERR
solidifi,buggy_25,Box,1,0.33,0.0,False,ERR
solidifi,buggy_26,Box,1,5.35,1.2542,True,OK
solidifi,buggy_26,Box,2,5.22,1.219,True,OK
solidifi,buggy_26,Box,3,5.27,1.272,True,OK
solidifi,buggy_26,Octagon,1,83.18,79.1499,True,OK
solidifi,buggy_26,Octagon,2,80.39,76.1949,True,OK
solidifi,buggy_26,Octagon,3,76.59,72.4443,True,OK
solidifi,buggy_26,Polka,1,18.84,14.6538,True,OK
solidifi,buggy_26,Polka,2,19.06,14.9047,True,OK
solidifi,buggy_26,Polka,3,19.09,14.9618,True,OK
solidifi,buggy_27,Box,1,0.66,0.0,False,ERR
solidifi,buggy_28,Box,1,0.46,0.0,False,ERR
solidifi,buggy_29,Box,1,0.08,0.0,False,ERR
solidifi,buggy_3,Box,1,2.85,0.092,True,OK
solidifi,buggy_3,Box,2,2.9,0.1012,True,OK
solidifi,buggy_3,Box,3,2.94,0.1049,True,OK
solidifi,buggy_3,Octagon,1,4.22,1.3983,True,OK
solidifi,buggy_3,Octagon,2,4.54,1.7398,True,OK
solidifi,buggy_3,Octagon,3,4.18,1.4258,True,OK
solidifi,buggy_3,Polka,1,3.57,0.8625,True,OK
solidifi,buggy_3,Polka,2,3.58,0.8577,True,OK
solidifi,buggy_3,Polka,3,3.59,0.8659,True,OK
solidifi,buggy_30,Box,1,0.73,0.0,False,ERR
solidifi,buggy_31,Box,1,0.07,0.0,False,ERR
solidifi,buggy_32,Box,1,1.66,0.0,False,ERR
solidifi,buggy_33,Box,1,0.08,0.0,False,ERR
solidifi,buggy_34,Box,1,0.09,0.0,False,ERR
solidifi,buggy_35,Box,1,0.09,0.0,False,ERR
solidifi,buggy_37,Box,1,2.0,0.0,False,ERR
solidifi,buggy_38,Box,1,2.6,0.0,False,ERR
solidifi,buggy_39,Box,1,0.91,0.0254,True,OK
solidifi,buggy_39,Box,2,0.89,0.052,True,OK
solidifi,buggy_39,Box,3,0.88,0.0253,True,OK
solidifi,buggy_39,Octagon,1,1.15,0.2891,True,OK
solidifi,buggy_39,Octagon,2,1.13,0.2575,True,OK
solidifi,buggy_39,Octagon,3,1.23,0.3455,True,OK
solidifi,buggy_39,Polka,1,1.05,0.1838,True,OK
solidifi,buggy_39,Polka,2,1.04,0.1746,True,OK
solidifi,buggy_39,Polka,3,1.05,0.181,True,OK
solidifi,buggy_4,Box,1,9.5,2.8189,True,OK
solidifi,buggy_4,Box,2,9.39,2.777,True,OK
solidifi,buggy_4,Box,3,9.22,2.8232999999999997,True,OK
solidifi,buggy_4,Octagon,1,159.52,151.71359999999999,True,OK
solidifi,buggy_4,Octagon,2,164.84,155.76749999999998,True,OK
solidifi,buggy_4,Octagon,3,198.14,188.1494,True,OK
solidifi,buggy_4,Polka,1,35.29,28.186,True,OK
solidifi,buggy_4,Polka,2,33.69,26.8953,True,OK
solidifi,buggy_4,Polka,3,36.56,27.9955,True,OK
solidifi,buggy_40,Box,1,1.58,0.0,False,ERR
solidifi,buggy_41,Box,1,4.41,1.2899,True,OK
solidifi,buggy_41,Box,2,4.3,1.2779,True,OK
solidifi,buggy_41,Box,3,4.54,1.3373,True,OK
solidifi,buggy_41,Octagon,1,79.41,76.2997,True,OK
solidifi,buggy_41,Octagon,2,80.32,77.138,True,OK
solidifi,buggy_41,Octagon,3,79.87,76.72,True,OK
solidifi,buggy_41,Polka,1,15.46,12.2727,True,OK
solidifi,buggy_41,Polka,2,16.49,13.3061,True,OK
