dataset,relpath,pragma,want_version,solc_used,fallback,exit_code,coverage_pct,reentrancy,timestamp,tod,int_overflow,int_underflow,callstack,global_timeout_hit,duration_s
solidifi,"solidifi/tod/safe/48.sol",^0.5.11,0.5.11,0.5.11,floor,0,86.2,False,False,False,True,True,False,no,127.33
solidifi,"solidifi/tod/safe/5.sol",>=0.4.22 <0.6.0,0.4.22,0.4.22,floor,0,82.6,False,False,False,True,True,False,no,255.12
solidifi,"solidifi/tod/safe/9.sol",>=0.4.22 <0.6.0,0.4.22,0.4.22,floor,0,63.0,False,False,False,True,True,False,no,248.88
solidifi,"solidifi/tod/vulnerable/buggy_13.sol",>=0.4.22 <0.6.0,0.4.22,0.5.17,bumped,0,5.9,False,False,False,True,True,False,no,120.35
solidifi,"solidifi/tod/vulnerable/buggy_17.sol",^0.5.6,0.5.6,0.5.6,floor,1,5.3,False,False,True,True,True,False,no,248.65
solidifi,"solidifi/tod/vulnerable/buggy_20.sol",^0.5.10,0.5.10,0.5.10,floor,1,96.0,False,False,True,False,False,False,no,6.53
solidifi,"solidifi/tod/vulnerable/buggy_24.sol",^0.5.0,0.5.0,0.5.0,floor,1,32.6,False,False,True,True,False,False,no,602.16
solidifi,"solidifi/tod/vulnerable/buggy_28.sol",^0.5.0,0.5.0,0.5.0,floor,0,5.2,False,False,False,True,True,False,no,124.37
solidifi,"solidifi/tod/vulnerable/buggy_31.sol",>=0.5.11,0.5.11,0.5.11,floor,1,98.4,False,False,True,False,True,False,no,4.18
solidifi,"solidifi/tod/vulnerable/buggy_35.sol",>=0.5.11,0.5.11,0.5.11,floor,1,94.1,False,False,True,True,True,False,no,356.42
solidifi,"solidifi/tod/vulnerable/buggy_39.sol",^0.5.10,0.5.10,0.5.10,floor,0,6.0,False,False,False,True,True,False,no,125.67
solidifi,"solidifi/tod/vulnerable/buggy_42.sol",^0.5.11,0.5.11,0.5.11,floor,1,92.9,False,False,True,True,False,False,no,17.60
solidifi,"solidifi/tod/vulnerable/buggy_46.sol",>=0.4.21 <0.6.0,0.4.21,0.5.17,bumped,0,23.7,False,False,False,True,True,False,no,601.44
solidifi,"solidifi/tod/vulnerable/buggy_4.sol",>= 0.5.0 < 0.6.0,0.5.0,0.5.0,floor,0,9.1,False,False,False,True,True,False,no,119.95
solidifi,"solidifi/tod/vulnerable/buggy_7.sol",^0.5.8,0.5.8,0.5.8,floor,1,32.9,False,False,True,True,True,False,no,377.29
solidifi,"solidifi/tod/safe/12.sol",>=0.4.23 <0.6.0,0.4.23,0.4.23,floor,124,49.9,False,False,False,True,True,False,no,660.04
solidifi,"solidifi/tod/safe/16.sol",^0.5.11,0.5.11,0.5.11,floor,0,21.6,False,False,False,True,True,False,no,218.77
solidifi,"solidifi/tod/safe/1.sol",>=0.4.22 <0.6.0,0.4.22,0.4.22,floor,0,14.1,False,False,False,True,True,False,no,123.71
solidifi,"solidifi/tod/safe/23.sol",^0.5.2,0.5.2,0.5.2,floor,0,11.4,False,False,False,True,True,False,no,125.96
solidifi,"solidifi/tod/safe/27.sol",^0.5.0,0.5.0,0.5.0,floor,0,4.7,False,False,False,True,True,False,no,124.68
solidifi,"solidifi/tod/safe/30.sol",^0.5.11,0.5.11,0.5.11,floor,139,98.4,False,False,False,True,True,False,no,11.03
solidifi,"solidifi/tod/safe/34.sol",>=0.5.11,0.5.11,0.5.11,floor,0,7.7,False,False,False,True,True,False,no,129.76
solidifi,"solidifi/tod/safe/38.sol",^0.5.0,0.5.0,0.5.0,floor,0,7.0,False,False,False,True,True,False,no,123.09
solidifi,"solidifi/tod/safe/41.sol",>=0.4.22 <0.6.0,0.4.22,0.5.17,bumped,0,10.3,False,False,False,True,True,False,no,123.74
solidifi,"solidifi/tod/safe/45.sol",^0.5.11,0.5.11,0.5.11,floor,0,96.2,False,False,False,True,False,False,no,11.13
solidifi,"solidifi/tod/safe/49.sol",^0.5.11,0.5.11,0.5.11,floor,0,16.6,False,False,False,True,True,False,no,122.74
solidifi,"solidifi/tod/safe/6.sol",^0.5.8,0.5.8,0.5.8,floor,0,97.9,False,False,False,True,True,False,no,4.03
solidifi,"solidifi/tod/vulnerable/buggy_10.sol",>=0.4.21 < 0.6.0,0.4.21,0.5.17,bumped,1,31.7,False,False,True,True,True,False,no,136.06
solidifi,"solidifi/tod/vulnerable/buggy_14.sol",^0.5.1,0.5.1,0.5.1,floor,1,95.9,False,False,True,True,True,False,no,133.68
solidifi,"solidifi/tod/vulnerable/buggy_18.sol",>=0.5.9,0.5.9,0.5.9,floor,1,98.4,False,False,True,True,True,False,no,127.89
solidifi,"solidifi/tod/vulnerable/buggy_21.sol",^0.5.11,0.5.11,0.5.11,floor,1,98.4,False,False,True,True,True,False,no,124.29
solidifi,"solidifi/tod/vulnerable/buggy_25.sol",^0.5.11,0.5.11,0.5.11,floor,1,55.3,True,False,True,True,True,False,no,601.74
solidifi,"solidifi/tod/vulnerable/buggy_29.sol",>=0.5.11,0.5.11,0.5.11,floor,1,89.5,False,False,True,True,False,False,no,7.07
solidifi,"solidifi/tod/vulnerable/buggy_32.sol",^0.5.7,0.5.7,0.5.7,floor,1,5.7,False,False,True,True,True,False,no,133.40
solidifi,"solidifi/tod/vulnerable/buggy_36.sol",>=0.5.1,0.5.1,0.5.1,floor,1,4.0,False,False,True,True,True,True,no,266.55
solidifi,"solidifi/tod/vulnerable/buggy_3.sol",^0.5.1,0.5.1,0.5.1,floor,0,4.9,False,False,False,True,True,False,no,123.70
solidifi,"solidifi/tod/vulnerable/buggy_43.sol",^0.5.0,0.5.0,0.5.0,floor,1,88.2,False,False,True,True,True,False,no,128.64
solidifi,"solidifi/tod/vulnerable/buggy_47.sol",^0.5.11,0.5.11,0.5.11,floor,1,7.8,False,True,True,True,True,False,no,314.74
solidifi,"solidifi/tod/vulnerable/buggy_50.sol",^0.5.11,0.5.11,0.5.11,floor,1,95.9,False,False,True,True,True,False,no,5.39
solidifi,"solidifi/tod/vulnerable/buggy_8.sol",>=0.4.22 <0.6.0,0.4.22,0.5.17,bumped,1,92.7,False,False,True,True,True,False,no,249.19
