filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
07_MixedSendFold_safe1.sol,0.8.28,OK,0.51,1,-1,-1,-1
07_MixedSend_ree1.sol,0.8.28,OK,0.43,1,-1,-1,-1
07_MixedSend_safe1.sol,0.8.28,OK,0.61,1,-1,-1,-1
08_MixedTransferEmit_ree1.sol,0.8.28,OK,0.46,1,-1,-1,-1
08_MixedTransferEmit_safe1.sol,0.8.28,OK,0.59,1,-1,-1,-1
08_MixedTransfer_ree1.sol,0.8.28,OK,0.47,1,-1,-1,-1
08_MixedTransfer_safe1.sol,0.8.28,OK,0.44,1,-1,-1,-1
09_ERC20InheritMod_ree1.sol,0.8.28,OK,0.85,0,-1,-1,-1
09_ERC20InheritMod_ree2.sol,0.8.28,OK,1.07,0,-1,-1,-1
09_ERC20InheritMod_ree3.sol,0.8.28,OK,1.18,0,-1,-1,-1
09_ERC20InheritMod_safe1.sol,0.8.28,OK,0.94,0,-1,-1,-1
09_ERC20Inherit_ree1.sol,0.8.28,OK,0.81,0,-1,-1,-1
09_ERC20Inherit_safe1.sol,0.8.28,OK,0.93,0,-1,-1,-1
09_ERC20Mod_ree1.sol,0.8.28,OK,0.40,1,-1,-1,-1
09_ERC20Mod_ree2.sol,0.8.28,OK,7.38,1,-1,-1,-1
09_ERC20Mod_ree3.sol,0.8.28,OK,0.38,1,-1,-1,-1
09_ERC20Mod_safe1.sol,0.8.28,OK,0.45,1,-1,-1,-1
09_ERC20OnlyOnce_ree1.sol,0.8.28,OK,0.39,1,-1,-1,-1
09_ERC20OnlyOnce_safe1.sol,0.8.28,OK,0.47,1,-1,-1,-1
09_ERC20OnlyOnce_safe2.sol,0.8.28,OK,0.42,1,-1,-1,-1
09_ERC20StakingPullMod_ree1.sol,0.8.28,OK,0.56,1,-1,-1,-1
09_ERC20StakingPullMod_ree2.sol,0.8.28,OK,14.42,1,-1,-1,-1
09_ERC20StakingPullMod_safe1.sol,0.8.28,OK,0.59,1,-1,-1,-1
09_ERC20StakingPull_ree1.sol,0.8.28,OK,0.47,1,-1,-1,-1
09_ERC20StakingPull_safe1.sol,0.8.28,OK,0.57,1,-1,-1,-1
09_ERC20StakingPull_safe2.sol,0.8.28,OK,1.90,1,-1,-1,-1
09_ERC20Staking_ree1.sol,0.8.28,OK,0.53,1,-1,-1,-1
09_ERC20Staking_ree2.sol,0.8.28,OK,0.43,1,-1,-1,-1
09_ERC20Staking_ree3.sol,0.8.28,OK,0.41,1,-1,-1,-1
09_ERC20Staking_safe1.sol,0.8.28,OK,1.15,0,-1,-1,-1
09_ERC20Staking_safe2.sol,0.8.28,OK,0.94,0,-1,-1,-1
09_ERC20Staking_safe3.sol,0.8.28,OK,0.69,1,-1,-1,-1
09_ERC20Staticcall_ree1.sol,0.8.28,OK,0.65,1,-1,-1,-1
09_ERC20_ree1.sol,0.8.28,OK,0.36,1,-1,-1,-1
09_ERC20_ree2.sol,0.8.28,OK,0.38,1,-1,-1,-1
09_ERC20_safe1.sol,0.8.28,OK,1.22,0,-1,-1,-1
09_ERC20_safe2.sol,0.8.28,OK,1.53,0,-1,-1,-1
09_ERC20_safe3.sol,0.8.28,OK,1.25,1,-1,-1,-1
09_ERC20_safe4.sol,0.8.28,OK,9.27,1,-1,-1,-1
10_OnlyOnce_safe1.sol,0.8.28,OK,0.46,1,-1,-1,-1
10_OnlyOnce_safe2.sol,0.8.28,OK,0.37,1,-1,-1,-1
11_ProxyStaticcall_safe1.sol,0.8.28,OK,0.31,0,-1,-1,-1
11_Proxy_safe1.sol,0.8.28,OK,0.60,1,-1,-1,-1
11_Proxy_safe2.sol,0.8.28,OK,0.39,1,-1,-1,-1
12_OnlyOwner_ree1.sol,0.8.28,OK,0.50,1,-1,-1,-1
12_OnlyOwner_safe1.sol,0.8.28,OK,0.59,1,-1,-1,-1
13_LoopCrossMod_ree1.sol,0.8.28,OK,0.64,1,-1,-1,-1
13_LoopCrossMod_ree2.sol,0.8.28,OK,0.54,1,-1,-1,-1
13_LoopCrossMod_ree3.sol,0.8.28,OK,0.69,1,-1,-1,-1
13_LoopCrossMod_safe1.sol,0.8.28,OK,1.41,1,-1,-1,-1
13_LoopCrossMutex_ree1.sol,0.8.28,OK,0.57,1,-1,-1,-1
13_LoopCrossMutex_safe1.sol,0.8.28,OK,0.61,1,-1,-1,-1
13_LoopCrossMutex_safe2.sol,0.8.28,EXCL,120.02,-1,-1,-1,-1
13_Loop_ree1.sol,0.8.28,OK,0.95,1,-1,-1,-1
13_Loop_safe1.sol,0.8.28,OK,0.76,1,-1,-1,-1
14_ReadOnly_safe1.sol,0.8.28,OK,0.57,1,-1,-1,-1
15_ReadOnlyStaticcall_ree1.sol,0.8.28,OK,0.42,1,-1,-1,-1
15_ReadOnlyStaticcall_safe1.sol,0.8.28,OK,0.48,1,-1,-1,-1
15_ReadOnly_ree1.sol,0.8.28,OK,0.36,1,-1,-1,-1
15_ReadOnly_ree2.sol,0.8.28,OK,0.46,1,-1,-1,-1
15_ReadOnly_safe2.sol,0.8.28,OK,0.72,1,-1,-1,-1
