filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
18430.sol,N/A,FP,2.29,1,-1,-1,-1
18438.sol,N/A,FP,2.16,1,-1,-1,-1
18509.sol,N/A,N/A,1.26,1,-1,-1,-1
1851.sol,N/A,TN,1.49,-1,-1,0,-1
18510.sol,N/A,TP,1.8,1,-1,-1,-1
18771.sol,N/A,FP,1.9,1,-1,-1,-1
18975.sol,N/A,FN,1.72,-1,-1,0,-1
19128.sol,N/A,N/A,1.32,1,-1,-1,-1
19129.sol,N/A,FP,1.79,1,-1,-1,-1
19182.sol,N/A,FN,1.72,-1,-1,0,-1
19294.sol,N/A,TN,1.48,-1,-1,0,-1
1954.sol,N/A,FN,1.5,-1,-1,0,-1
19692.sol,N/A,TN,1.45,-1,-1,0,-1
19714.sol,N/A,FN,1.58,-1,-1,0,-1
19925.sol,N/A,N/A,1.28,1,-1,-1,-1
2.sol,N/A,N/A,1.2,-1,-1,-1,-1
2000.sol,N/A,N/A,1.47,-1,-1,-1,-1
20057.sol,N/A,FN,1.84,-1,-1,0,-1
20259.sol,N/A,FN,1.71,-1,-1,0,-1
2051.sol,N/A,FN,1.78,-1,-1,0,-1
20888.sol,N/A,TN,1.48,-1,-1,0,-1
20930.sol,N/A,TN,1.53,-1,-1,0,-1
211.sol,N/A,FN,1.63,-1,-1,0,-1
21162.sol,N/A,TN,1.45,-1,-1,0,-1
212.sol,N/A,FN,1.55,-1,-1,0,-1
21241.sol,N/A,N/A,1.35,1,-1,-1,-1
21393.sol,N/A,FN,1.46,-1,-1,0,-1
21404.sol,N/A,FN,1.37,-1,-1,0,-1
21697.sol,N/A,N/A,2.13,0,-1,-1,-1
21886.sol,N/A,FP,1.92,1,-1,-1,-1
21890.sol,N/A,FN,1.61,-1,-1,0,-1
22074.sol,N/A,N/A,1.23,0,-1,-1,-1
22075.sol,N/A,TN,1.92,0,-1,-1,-1
22155.sol,N/A,TN,1.52,-1,-1,0,-1
22247.sol,N/A,N/A,2.25,1,-1,-1,-1
22256.sol,N/A,TN,1.64,-1,-1,0,-1
22272.sol,N/A,TN,1.64,-1,-1,0,-1
22416.sol,N/A,N/A,1.24,1,-1,-1,-1
2252.sol,N/A,FN,1.55,-1,-1,0,-1
2253.sol,N/A,FN,1.71,-1,-1,0,-1
22635.sol,N/A,N/A,1.49,1,-1,-1,-1
22636.sol,N/A,FP,1.99,1,-1,-1,-1
22734.sol,N/A,TN,1.52,-1,-1,0,-1
2307.sol,N/A,N/A,1.3,-1,-1,-1,-1
2379.sol,N/A,FN,1.83,-1,-1,0,-1
23792.sol,N/A,N/A,1.22,0,-1,-1,-1
23793.sol,N/A,TN,1.89,0,-1,-1,-1
2397.sol,N/A,TN,1.59,-1,-1,0,-1
2399.sol,N/A,FN,1.48,-1,-1,0,-1
24161.sol,N/A,N/A,2.19,1,-1,-1,-1
24196.sol,N/A,FP,1.69,1,-1,-1,-1
24369.sol,N/A,TN,1.62,0,-1,-1,-1
24648.sol,N/A,N/A,1.36,1,-1,-1,-1
24649.sol,N/A,FP,1.42,1,-1,-1,-1
2563.sol,N/A,FN,1.39,-1,-1,0,-1
25808.sol,N/A,FP,1.46,1,-1,-1,-1
26188.sol,N/A,N/A,1.95,0,-1,-1,-1
26742.sol,N/A,N/A,1.68,1,-1,-1,-1
26743.sol,N/A,TP,1.45,1,-1,-1,-1
2688.sol,N/A,FN,1.16,-1,-1,0,-1
27121.sol,N/A,TN,1.47,0,-1,-1,-1
27159.sol,N/A,TN,1.6,0,-1,-1,-1
27164.sol,N/A,FP,1.67,1,-1,-1,-1
27263.sol,N/A,N/A,1.68,1,-1,-1,-1
27327.sol,N/A,FP,1.41,1,-1,-1,-1
27334.sol,N/A,FP,1.58,1,-1,-1,-1
27455.sol,N/A,FN,1.25,-1,-1,0,-1
27603.sol,N/A,FP,1.7,1,-1,-1,-1
2777.sol,N/A,FN,1.27,-1,-1,0,-1
28101.sol,N/A,TN,1.51,-1,-1,0,-1
28359.sol,N/A,FN,1.13,-1,-1,0,-1
28383.sol,N/A,FN,1.15,-1,-1,0,-1
28974.sol,N/A,FP,1.51,1,-1,-1,-1
29084.sol,N/A,TN,1.48,-1,-1,0,-1
29089.sol,N/A,N/A,1.21,1,-1,-1,-1
29090.sol,N/A,FP,1.73,1,-1,-1,-1
29130.sol,N/A,N/A,1.6,1,-1,-1,-1
29131.sol,N/A,FN,1.26,-1,-1,0,-1
29154.sol,N/A,TN,1.53,0,-1,-1,-1
29409.sol,N/A,TN,1.52,-1,-1,0,-1
29590.sol,N/A,TN,1.59,0,-1,-1,-1
29948.sol,N/A,TN,1.55,0,-1,-1,-1
29983.sol,N/A,TN,1.64,0,-1,-1,-1
3.sol,N/A,N/A,1.19,0,-1,-1,-1
30046.sol,N/A,FP,1.56,1,-1,-1,-1
30060.sol,N/A,FN,1.18,-1,-1,0,-1
30101.sol,N/A,N/A,1.35,1,-1,-1,-1
30102.sol,N/A,FP,1.71,1,-1,-1,-1
30254.sol,N/A,TN,1.73,0,-1,-1,-1
30255.sol,N/A,TN,1.69,0,-1,-1,-1
